Date,Preço MXRF11.SA,Dividendos MXRF11.SA,VP MXRF11.SA,Preço HGLG11.SA,Dividendos HGLG11.SA,VP HGLG11.SA,Preço KNRI11.SA,Dividendos KNRI11.SA,VP KNRI11.SA
2022-01-31 00:00:00-03:00,6.487746715545654,0.0,,129.12030029296875,0.0,,106.20201110839844,0.0,
2022-02-28 00:00:00-03:00,6.411256790161133,0.0,,126.43267059326172,0.0,,105.6849365234375,0.0,
2022-03-31 00:00:00-03:00,6.439070701599121,0.0,,123.78287506103516,0.0,,109.14545440673828,0.0,
2022-04-30 00:00:00-03:00,6.9188714027404785,0.0,,125.70790100097656,1.080226,,109.55146789550781,0.807408,
2022-05-31 00:00:00-03:00,6.967970848083496,0.108303,,127.3899154663086,1.08619,,106.76348876953125,0.837312,
2022-06-30 00:00:00-03:00,6.882528781890869,0.108303,,127.7161865234375,1.08619,,106.53445434570312,0.837312,
2022-07-31 00:00:00-03:00,7.0692057609558105,0.098457,,133.67715454101562,3.25857,,111.39240264892578,0.837312,
2022-08-31 00:00:00-03:00,7.505433082580566,0.118148,,137.62664794921875,1.08619,,126.35530090332031,0.907088,
2022-09-30 00:00:00-03:00,7.571467399597168,0.108303,,137.7149658203125,1.08619,,126.17949676513672,0.907088,
2022-10-31 00:00:00-03:00,7.645579814910889,0.098457,,133.66592407226562,1.08619,,122.77947998046875,0.907088,
2022-11-30 00:00:00-03:00,7.637967586517334,0.098457,,134.08901977539062,1.08619,,120.67070007324219,0.907088,
2022-12-31 00:00:00-03:00,7.622766494750977,0.078766,,134.73611450195312,1.08619,,117.92616271972656,0.907088,
2023-01-31 00:00:00-03:00,7.744730472564697,0.098457,,134.70286560058594,2.17238,,118.3893814086914,0.996801,
2023-02-28 00:00:00-03:00,7.8911590576171875,0.108303,,135.1124267578125,1.08619,,117.03968811035156,0.907088,
2023-03-31 00:00:00-03:00,8.101754188537598,0.118148,,135.04505920410156,1.08619,,118.38507080078125,0.946961,
2023-04-30 00:00:00-03:00,8.346389770507812,0.118148,,137.6973876953125,1.08619,,126.22392272949219,0.946961,
2023-05-31 00:00:00-03:00,8.553901672363281,0.118148,,137.46957397460938,1.08619,,132.5214385986328,0.946961,
2023-06-30 00:00:00-03:00,8.860650062561035,0.118148,,145.49099731445312,1.1,,139.90040588378906,0.946961,
2023-07-31 00:00:00-03:00,8.811180114746094,0.118907,,143.31385803222656,1.5,,142.5391845703125,1.505169,
2023-08-31 00:00:00-03:00,9.118581771850586,0.118907,,143.37571716308594,1.1,,142.403076171875,0.946961,
2023-09-30 00:00:00-03:00,9.294760704040527,0.108998,,143.69606018066406,1.1,,147.12318420410156,0.946961,
2023-10-31 00:00:00-03:00,9.16740894317627,0.108998,,141.5636749267578,1.1,,143.70054626464844,0.996801,
2023-11-30 00:00:00-03:00,9.245808601379395,0.108998,,145.623779296875,1.1,,144.44027709960938,0.996801,
2023-12-31 00:00:00-03:00,9.219493865966797,0.109829,,147.15908813476562,1.1,,150.81629943847656,0.996801,
2024-01-31 00:00:00-03:00,9.474946022033691,0.109829,,151.1561279296875,1.1,,150.35496520996094,0.996801,
2024-02-29 00:00:00-03:00,9.199014663696289,0.099845,,156.52430725097656,1.1,,153.6081085205078,0.996801,
2024-03-31 00:00:00-03:00,9.441424369812012,0.099845,,156.626220703125,1.1,,154.41246032714844,0.996801,
2024-04-30 00:00:00-03:00,9.459424018859863,0.099845,,155.44154357910156,1.1,,153.0867919921875,1.0,
2024-05-31 00:00:00-03:00,9.45012378692627,0.099845,,153.44134521484375,1.1,,150.33465576171875,1.0,
2024-06-30 00:00:00-03:00,9.468474388122559,0.099845,,153.2995147705078,1.1,,150.9017791748047,1.0,
2024-07-31 00:00:00-03:00,9.515161514282227,0.1,,152.6807861328125,1.1,,147.14468383789062,1.0,
2024-08-31 00:00:00-03:00,9.562314987182617,0.1,,154.5018768310547,1.1,,147.4414825439453,1.0,
2024-09-30 00:00:00-03:00,9.448137283325195,0.09,,153.56578063964844,1.1,,134.23043823242188,1.0,
2024-10-31 00:00:00-03:00,9.265703201293945,0.09,,151.4473876953125,1.1,,134.23040771484375,1.0,
2024-11-30 00:00:00-03:00,9.0912446975708,0.09,,149.00071716308594,1.1,,128.85337829589844,1.0,
2024-12-31 00:00:00-03:00,9.179413795471191,0.1,,153.90992736816406,1.1,,134.8625946044922,1.0,
2025-01-31 00:00:00-03:00,9.119999885559082,0.1,,151.14999389648438,1.1,,130.0,1.0,
2025-02-28 00:00:00-03:00,8.989999771118164,0.09,,148.02000427246094,1.1,,129.97000122070312,1.0,
